date,code,open,high,low,close,volume,amount,adjustflag,turn
2024-06-28,sz.301090,8.3600,8.3600,6.4900,6.5800,80901143,584596389.0100,3,36.457500
2024-07-31,sz.301090,6.5900,6.9200,5.9500,6.2600,100410469,646372893.1500,3,45.249300
2024-08-30,sz.301090,6.2500,6.3200,5.2900,5.6300,109562492,639327601.8900,3,49.373800
2024-09-30,sz.301090,5.6300,8.2000,5.2400,7.9700,471640961,3006322200.3700,3,212.541800
2024-10-31,sz.301090,9.4200,9.4200,7.0100,7.5400,292580701,2262806067.6800,3,117.814300
2024-11-29,sz.301090,7.5200,8.2500,7.1900,7.4900,188136950,1461140496.7800,3,30.091200
2024-12-31,sz.301090,7.5200,8.2000,6.9400,6.9400,133203041,1016442981.7300,3,21.305000
2025-01-27,sz.301090,6.9400,7.0300,6.2900,6.5800,71797136,477741280.1300,3,11.483500
2025-02-28,sz.301090,6.6100,8.9600,6.5500,7.7300,199564215,1539881295.6800,3,31.919200
2025-03-31,sz.301090,7.7000,7.8100,7.1300,7.3100,210480925,1583950441.4000,3,33.664900
2025-04-30,sz.301090,7.3000,7.4900,6.1100,7.0900,144047343,1006552961.3800,3,21.712500
2025-05-30,sz.301090,7.1400,7.5000,7.1300,7.2500,82177310,604413013.6300,3,5.554800
2025-06-30,sz.301090,7.2300,7.6600,7.2000,7.5300,86664427,641080688.5300,3,5.857900
2025-07-31,sz.301090,7.5300,8.3200,7.4600,7.9400,127260208,1006321745.0400,3,8.602100
2025-08-29,sz.301090,7.9200,8.4600,7.6500,7.8300,132399034,1080136211.9100,3,8.949700
2025-09-30,sz.301090,7.8900,8.2500,7.3500,7.5600,131638842,1031387142.5000,3,8.898100
2025-10-31,sz.301090,7.6300,7.8500,7.3000,7.5900,103285907,781337567.1300,3,6.981700
2025-11-28,sz.301090,7.6300,8.3500,7.3100,7.4300,124759108,979119284.9000,3,8.447900
2022-08-31,sz.301095,122.0000,162.0000,87.5000,88.7200,186282013,22948555583.8000,3,466.927100
2022-09-30,sz.301095,91.0100,115.2800,85.6600,104.9800,96907738,9797694947.1500,3,242.905100
